,,,
," Paridad PEN / CLP
1 PEN = 261,87 CLP ",,
,,,
,,,
,,,
Date, Price ,% VaR,% Acum
31/12/2009," $ 175,65 ","0,00000000%","0,00000000%"
1/1/2010," $ 175,65 ","0,00000000%","0,00000000%"
4/1/2010," $ 176,01 ","0,20495303%","0,20495303%"
5/1/2010," $ 174,49 ","-0,86358730%","-0,66040421%"
6/1/2010," $ 173,13 ","-0,77941429%","-1,43467122%"
7/1/2010," $ 172,23 ","-0,51984058%","-1,94705380%"
8/1/2010," $ 173,20 ","0,56320037%","-1,39481924%"
11/1/2010," $ 172,14 ","-0,61200924%","-1,99829206%"
12/1/2010," $ 172,02 ","-0,06971070%","-2,06660974%"
13/1/2010," $ 173,50 ","0,86036507%","-1,22402505%"
14/1/2010," $ 173,21 ","-0,16714697%","-1,38912610%"
15/1/2010," $ 171,30 ","-1,10270770%","-2,47651580%"
18/1/2010," $ 172,55 ","0,72971395%","-1,76487333%"
19/1/2010," $ 172,40 ","-0,08693132%","-1,85027042%"
20/1/2010," $ 174,03 ","0,94547564%","-0,92228864%"
21/1/2010," $ 175,91 ","1,08027352%","0,14802163%"
22/1/2010," $ 177,30 ","0,79017679%","0,93936806%"
25/1/2010," $ 177,98 ","0,38353074%","1,32650157%"
26/1/2010," $ 179,22 ","0,69670750%","2,03245090%"
27/1/2010," $ 182,29 ","1,71297846%","3,78024481%"
28/1/2010," $ 184,93 ","1,44824181%","5,28323370%"
29/1/2010," $ 183,22 ","-0,92467420%","4,30970680%"
1/2/2010," $ 184,60 ","0,75319288%","5,09536009%"
2/2/2010," $ 184,89 ","0,15709642%","5,26046114%"
3/2/2010," $ 188,76 ","2,09313646%","7,46370623%"
4/2/2010," $ 190,24 ","0,78406442%","8,30629092%"
5/2/2010," $ 188,84 ","-0,73591253%","7,50925135%"
8/2/2010," $ 188,73 ","-0,05825037%","7,44662681%"
9/2/2010," $ 188,20 ","-0,28082446%","7,14489041%"
10/2/2010," $ 187,08 ","-0,59511158%","6,50725875%"
11/2/2010," $ 186,06 ","-0,54522130%","5,92655850%"
12/2/2010," $ 185,06 ","-0,53746103%","5,35724452%"
15/2/2010," $ 185,39 ","0,17832054%","5,54511813%"
16/2/2010," $ 184,65 ","-0,39915853%","5,12382579%"
17/2/2010," $ 186,04 ","0,75277552%","5,91517222%"
18/2/2010," $ 186,55 ","0,27413459%","6,20552235%"
19/2/2010," $ 186,13 ","-0,22514071%","5,96641048%"
22/2/2010," $ 185,11 ","-0,54800408%","5,38571022%"
23/2/2010," $ 185,56 ","0,24309870%","5,64190151%"
24/2/2010," $ 185,96 ","0,21556370%","5,86962710%"
25/2/2010," $ 186,03 ","0,03764250%","5,90947908%"
26/2/2010," $ 184,25 ","-0,95683492%","4,89610020%"
1/3/2010," $ 183,89 ","-0,19538670%","4,69114717%"
2/3/2010," $ 182,52 ","-0,74501060%","3,91118702%"
3/3/2010," $ 181,59 ","-0,50953320%","3,38172502%"
4/3/2010," $ 181,18 ","-0,22578336%","3,14830629%"
5/3/2010," $ 179,23 ","-1,07627773%","2,03814404%"
8/3/2010," $ 179,14 ","-0,05021481%","1,98690578%"
9/3/2010," $ 180,48 ","0,74801831%","2,74978651%"
10/3/2010," $ 182,68 ","1,21897163%","4,00227726%"
11/3/2010," $ 182,31 ","-0,20253996%","3,79163108%"
12/3/2010," $ 181,43 ","-0,48269431%","3,29063479%"
15/3/2010," $ 182,99 ","0,85983575%","4,17876459%"
16/3/2010," $ 185,00 ","1,09842068%","5,32308568%"
17/3/2010," $ 185,11 ","0,05945946%","5,38571022%"
18/3/2010," $ 185,40 ","0,15666361%","5,55081127%"
19/3/2010," $ 186,49 ","0,58791802%","6,17136351%"
22/3/2010," $ 188,18 ","0,90621481%","7,13350413%"
23/3/2010," $ 187,82 ","-0,19130620%","6,92855110%"
24/3/2010," $ 188,03 ","0,11180918%","7,04810703%"
25/3/2010," $ 187,68 ","-0,18614051%","6,84884714%"
26/3/2010," $ 188,13 ","0,23976982%","7,10503843%"
29/3/2010," $ 186,49 ","-0,87173763%","6,17136351%"
30/3/2010," $ 185,02 ","-0,78824602%","5,33447196%"
31/3/2010," $ 184,74 ","-0,15133499%","5,17506405%"
1/4/2010," $ 183,65 ","-0,59001840%","4,55451181%"
2/4/2010," $ 183,60 ","-0,02722570%","4,52604611%"
5/4/2010," $ 182,84 ","-0,41394336%","4,09336749%"
6/4/2010," $ 183,35 ","0,27893240%","4,38371762%"
7/4/2010," $ 182,04 ","-0,71448050%","3,63791631%"
8/4/2010," $ 182,03 ","-0,00549330%","3,63222317%"
9/4/2010," $ 181,93 ","-0,05493600%","3,57529177%"
12/4/2010," $ 181,36 ","-0,31330732%","3,25078281%"
13/4/2010," $ 181,89 ","0,29223644%","3,55251921%"
14/4/2010," $ 182,97 ","0,59376546%","4,16737831%"
15/4/2010," $ 183,55 ","0,31699186%","4,49758042%"
16/4/2010," $ 183,71 ","0,08716971%","4,58867065%"
19/4/2010," $ 185,29 ","0,86005117%","5,48818673%"
20/4/2010," $ 185,71 ","0,22667170%","5,72729861%"
21/4/2010," $ 183,39 ","-1,24925960%","4,40649018%"
22/4/2010," $ 183,37 ","-0,01090572%","4,39510390%"
23/4/2010," $ 183,38 ","0,00545345%","4,40079704%"
26/4/2010," $ 182,47 ","-0,49623732%","3,88272132%"
27/4/2010," $ 184,05 ","0,86589576%","4,78223740%"
28/4/2010," $ 183,72 ","-0,17929910%","4,59436379%"
29/4/2010," $ 182,61 ","-0,60418027%","3,96242528%"
30/4/2010," $ 182,31 ","-0,16428454%","3,79163108%"
3/5/2010," $ 181,94 ","-0,20295102%","3,58098491%"
4/5/2010," $ 183,68 ","0,95635924%","4,57159123%"
5/5/2010," $ 184,61 ","0,50631533%","5,10105323%"
6/5/2010," $ 185,30 ","0,37376090%","5,49387987%"
7/5/2010," $ 186,77 ","0,79330815%","6,33077142%"
10/5/2010," $ 186,37 ","-0,21416716%","6,10304583%"
11/5/2010," $ 185,75 ","-0,33267157%","5,75007116%"
12/5/2010," $ 186,81 ","0,57065949%","6,35354398%"
13/5/2010," $ 186,93 ","0,06423639%","6,42186166%"
14/5/2010," $ 188,71 ","0,95222811%","7,43524054%"
17/5/2010," $ 190,94 ","1,18170738%","8,70481070%"
18/5/2010," $ 191,82 ","0,46087776%","9,20580700%"
19/5/2010," $ 192,55 ","0,38056511%","9,62140621%"
20/5/2010," $ 190,88 ","-0,86730719%","8,67065186%"
21/5/2010," $ 191,07 ","0,09953898%","8,77882152%"
24/5/2010," $ 188,97 ","-1,09907364%","7,58326217%"
25/5/2010," $ 192,22 ","1,71984971%","9,43353259%"
26/5/2010," $ 188,79 ","-1,78441369%","7,48078565%"
27/5/2010," $ 185,93 ","-1,51491075%","5,85254768%"
28/5/2010," $ 186,17 ","0,12908084%","5,98918303%"
31/5/2010," $ 186,30 ","0,06982865%","6,06319385%"
1/6/2010," $ 187,22 ","0,49382716%","6,58696271%"
2/6/2010," $ 187,97 ","0,40059823%","7,01394819%"
3/6/2010," $ 188,56 ","0,31387987%","7,34984344%"
4/6/2010," $ 190,65 ","1,10840051%","8,53970965%"
7/6/2010," $ 191,73 ","0,56648308%","9,15456874%"
8/6/2010," $ 192,55 ","0,42768477%","9,62140621%"
9/6/2010," $ 190,15 ","-1,24642950%","8,25505266%"
10/6/2010," $ 188,43 ","-0,90454904%","7,27583262%"
11/6/2010," $ 188,64 ","0,11144722%","7,39538856%"
14/6/2010," $ 188,97 ","0,17493639%","7,58326217%"
15/6/2010," $ 188,50 ","-0,24871673%","7,31568460%"
16/6/2010," $ 186,82 ","-0,89124668%","6,35923712%"
17/6/2010," $ 187,24 ","0,22481533%","6,59834899%"
18/6/2010," $ 189,13 ","1,00939970%","7,67435241%"
21/6/2010," $ 187,67 ","-0,77195580%","6,84315400%"
22/6/2010," $ 188,34 ","0,35700964%","7,22459436%"
23/6/2010," $ 189,84 ","0,79643198%","8,07856533%"
24/6/2010," $ 190,11 ","0,14222503%","8,23228010%"
25/6/2010," $ 189,39 ","-0,37872810%","7,82237404%"
28/6/2010," $ 190,21 ","0,43296901%","8,28921150%"
29/6/2010," $ 193,08 ","1,50885863%","9,92314261%"
30/6/2010," $ 193,26 ","0,09322561%","10,02561913%"
1/7/2010," $ 191,28 ","-1,02452654%","8,89837746%"
2/7/2010," $ 190,18 ","-0,57507319%","8,27213208%"
5/7/2010," $ 190,85 ","0,35229782%","8,65357245%"
6/7/2010," $ 190,00 ","-0,44537595%","8,16965557%"
7/7/2010," $ 189,58 ","-0,22105263%","7,93054369%"
8/7/2010," $ 190,10 ","0,27429054%","8,22658696%"
9/7/2010," $ 190,97 ","0,45765387%","8,72189012%"
12/7/2010," $ 190,60 ","-0,19374771%","8,51124395%"
13/7/2010," $ 190,11 ","-0,25708290%","8,23228010%"
14/7/2010," $ 188,70 ","-0,74167587%","7,42954740%"
15/7/2010," $ 187,40 ","-0,68892422%","6,68943923%"
16/7/2010," $ 187,66 ","0,13874066%","6,83746086%"
19/7/2010," $ 188,86 ","0,63945433%","7,52063763%"
20/7/2010," $ 187,11 ","-0,92661231%","6,52433817%"
21/7/2010," $ 185,19 ","-1,02613436%","5,43125534%"
22/7/2010," $ 183,90 ","-0,69658189%","4,69684031%"
23/7/2010," $ 184,22 ","0,17400761%","4,87902078%"
26/7/2010," $ 183,80 ","-0,22798827%","4,63990891%"
27/7/2010," $ 184,22 ","0,22850925%","4,87902078%"
28/7/2010," $ 185,49 ","0,68939312%","5,60204953%"
29/7/2010," $ 185,49 ","0,00000000%","5,60204953%"
30/7/2010," $ 184,81 ","-0,36659658%","5,21491603%"
2/8/2010," $ 184,03 ","-0,42205508%","4,77085112%"
